transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000546,card_00059,2026-01-11T14:07:08Z,atm_withdrawal,False,False,dev_001169,AE,1750
txn_0000547,card_00598,2026-01-03T07:31:01Z,fuel,True,False,dev_004392,DE,10493
txn_0000548,card_00571,2026-01-04T17:41:39Z,electronics,False,False,dev_002314,US,1677
txn_0000549,card_00048,2026-01-21T19:29:55Z,online_retail,True,False,dev_002636,DE,3066
txn_0000550,card_00445,2026-01-23T07:46:17Z,entertainment,False,False,dev_002076,US,1519
txn_0000551,card_00758,2026-01-28T10:26:39Z,utilities,True,False,dev_001933,US,13477
txn_0000552,card_00334,2026-01-04T15:24:11Z,fuel,False,False,dev_001010,IN,7775
txn_0000553,card_00218,2026-01-28T09:23:26Z,restaurant,False,False,dev_004376,AE,921
txn_0000554,card_00708,2026-01-15T00:02:30Z,entertainment,False,False,dev_004071,DE,18080
txn_0000555,card_00571,2026-01-23T08:09:31Z,entertainment,False,False,dev_001040,SG,4409
txn_0000556,card_00306,2026-01-14T11:40:27Z,pharmacy,False,False,dev_000313,IN,23664
txn_0000557,card_00845,2026-01-30T12:58:08Z,atm_withdrawal,False,False,dev_000773,DE,6193
txn_0000558,card_00507,2026-01-05T07:09:34Z,entertainment,False,False,dev_001686,AE,13615
txn_0000559,card_00878,2026-01-16T18:33:36Z,restaurant,True,False,dev_001412,GB,24473
txn_0000560,card_00601,2026-01-04T15:14:44Z,pharmacy,False,False,dev_000615,GB,7526
txn_0000561,card_00584,2026-01-09T19:20:54Z,pharmacy,False,False,dev_004962,DE,3756
txn_0000562,card_00059,2026-01-10T02:24:34Z,electronics,False,False,dev_004942,AE,3858
txn_0000563,card_00703,2026-01-16T23:03:03Z,travel,True,False,dev_004294,AE,6426
txn_0000564,card_00630,2026-01-03T05:03:43Z,grocery,False,False,dev_004612,GB,2277
txn_0000565,card_00861,2026-01-07T04:55:25Z,travel,True,True,dev_001421,SG,117461
txn_0000566,card_00631,2026-01-19T00:46:22Z,online_retail,True,False,dev_000227,AE,8751
txn_0000567,card_00025,2026-01-26T10:20:18Z,electronics,False,False,dev_002488,GB,18003
txn_0000568,card_00027,2026-01-01T22:04:35Z,utilities,True,False,dev_004806,DE,19510
txn_0000569,card_00047,2026-01-24T03:22:33Z,atm_withdrawal,True,False,dev_002128,AE,23467
txn_0000570,card_00189,2026-01-08T13:01:29Z,fuel,False,False,dev_003438,SG,3550
txn_0000571,card_00520,2026-01-14T19:14:10Z,online_retail,True,False,dev_002381,AE,3012
txn_0000572,card_00800,2026-01-09T20:32:00Z,entertainment,True,False,dev_001946,US,3127
txn_0000573,card_00303,2026-01-07T04:09:55Z,online_retail,True,False,dev_002318,GB,873
txn_0000574,card_00520,2026-01-02T11:03:08Z,travel,True,False,dev_000805,US,6819
txn_0000575,card_00137,2026-01-04T15:20:05Z,fuel,False,False,dev_000851,SG,2870
txn_0000576,card_00014,2026-01-23T18:54:02Z,grocery,True,False,dev_002992,SG,3039
txn_0000577,card_00259,2026-01-30T19:45:28Z,electronics,True,False,dev_002540,AE,4917
txn_0000578,card_00138,2026-01-07T21:15:31Z,electronics,True,False,dev_000055,GB,5313
txn_0000579,card_00560,2026-01-06T08:18:41Z,fuel,True,False,dev_004834,AE,10997
txn_0000580,card_00450,2026-01-22T00:10:06Z,atm_withdrawal,False,False,dev_004164,DE,6125
txn_0000581,card_00281,2026-01-12T08:40:56Z,travel,True,False,dev_003374,AE,8355
txn_0000582,card_00900,2026-01-27T12:11:12Z,fuel,True,False,dev_001140,IN,6867
txn_0000583,card_00657,2026-01-16T21:49:13Z,online_retail,False,False,dev_002692,AE,21861
txn_0000584,card_00301,2026-01-19T16:28:40Z,grocery,True,False,dev_001566,GB,22348
txn_0000585,card_00634,2026-01-01T15:04:30Z,fuel,False,False,dev_000144,US,4834
txn_0000586,card_00496,2026-01-26T16:01:43Z,fuel,False,False,dev_004750,IN,8402
txn_0000587,card_00707,2026-01-23T02:42:44Z,online_retail,False,True,dev_000868,SG,5075
txn_0000588,card_00306,2026-01-01T11:59:18Z,electronics,True,False,dev_000158,GB,20846
txn_0000589,card_00307,2026-01-23T06:12:07Z,atm_withdrawal,False,False,dev_002713,SG,42334
txn_0000590,card_00371,2026-01-12T10:14:22Z,restaurant,True,False,dev_004976,IN,7580
txn_0000591,card_00437,2026-01-02T11:42:56Z,utilities,True,False,dev_004742,US,918
txn_0000592,card_00804,2026-01-17T02:20:23Z,utilities,True,False,dev_004867,IN,5422
txn_0000593,card_00085,2026-01-24T07:31:30Z,fuel,False,False,dev_001368,DE,62717
txn_0000594,card_00468,2026-01-21T00:39:02Z,restaurant,True,False,dev_001268,GB,15358
txn_0000595,card_00306,2026-01-15T16:37:01Z,atm_withdrawal,True,False,dev_001477,SG,2297
txn_0000596,card_00314,2026-01-05T06:37:53Z,online_retail,False,False,dev_000747,SG,494
txn_0000597,card_00763,2026-01-26T05:57:38Z,online_retail,False,False,dev_004974,US,4221
txn_0000598,card_00203,2026-01-22T01:48:19Z,grocery,True,False,dev_003600,DE,1475
txn_0000599,card_00755,2026-01-23T09:26:02Z,entertainment,False,False,dev_003199,IN,9648
txn_0000600,card_00118,2026-01-04T16:32:07Z,online_retail,True,False,dev_001790,SG,8705
txn_0000601,card_00619,2026-01-13T20:49:49Z,entertainment,True,False,dev_003582,GB,4963
txn_0000602,card_00202,2026-01-08T10:41:29Z,utilities,False,True,dev_000963,SG,74255
txn_0000603,card_00243,2026-01-29T01:14:12Z,online_retail,False,False,dev_000584,IN,3379
txn_0000604,card_00794,2026-01-25T23:51:47Z,utilities,False,False,dev_004207,GB,114729
txn_0000605,card_00873,2026-01-05T14:14:39Z,restaurant,True,False,dev_002159,AE,2394
txn_0000606,card_00603,2026-01-14T10:03:28Z,travel,True,False,dev_000842,US,1957
txn_0000607,card_00147,2026-01-04T20:42:21Z,online_retail,True,False,dev_001141,AE,1301
txn_0000608,card_00524,2026-01-18T01:29:11Z,utilities,False,False,dev_003059,US,12711
txn_0000609,card_00641,2026-01-17T11:12:29Z,entertainment,True,False,dev_002433,IN,1856
txn_0000610,card_00305,2026-01-12T11:24:44Z,restaurant,False,False,dev_003804,AE,773
txn_0000611,card_00603,2026-01-30T23:27:14Z,atm_withdrawal,False,False,dev_001182,SG,30473
txn_0000612,card_00062,2026-01-15T13:09:13Z,grocery,False,False,dev_001735,SG,35522
txn_0000613,card_00244,2026-01-20T18:08:27Z,electronics,True,False,dev_004276,IN,20203
txn_0000614,card_00439,2026-01-21T21:34:02Z,utilities,True,False,dev_002053,DE,5472
txn_0000615,card_00637,2026-01-09T00:32:24Z,travel,True,False,dev_004183,IN,2158
txn_0000616,card_00048,2026-01-13T14:40:26Z,online_retail,True,False,dev_002035,SG,12085
txn_0000617,card_00652,2026-01-11T03:08:34Z,atm_withdrawal,True,False,dev_001354,AE,9302
txn_0000618,card_00125,2026-01-28T14:52:51Z,utilities,True,False,dev_000090,SG,1069
txn_0000619,card_00817,2026-01-04T23:31:28Z,restaurant,True,True,dev_003757,AE,12560
txn_0000620,card_00211,2026-01-08T11:06:39Z,electronics,True,False,dev_004492,GB,3203
txn_0000621,card_00283,2026-01-14T16:53:08Z,utilities,True,False,dev_003212,GB,2922
txn_0000622,card_00886,2026-01-03T18:41:26Z,pharmacy,False,False,dev_003353,DE,3946
txn_0000623,card_00506,2026-01-23T01:39:08Z,utilities,False,False,dev_004961,DE,716
txn_0000624,card_00891,2026-01-03T03:39:28Z,pharmacy,True,False,dev_000058,DE,3933
